analysis_id,qc_type,batch_id,Cer d18:1/24:0,PC 32:1,PC 40:8
Longit_batch2_59,SPL,2,0.017773878669653125,0.09741176,0.00537538
Longit_batch2_60,SPL,2,0.00750571,0.025731708151084432,0.002061164
Longit_batch2_PQC 17,BQC,2,0.014252613334626237,0.057561216,0.003654149
Longit_batch2_61,SPL,2,0.013328105898450357,0.048079145997408965,0.002368029
Longit_batch2_62,SPL,2,0.005735471,0.039534194,0.002301485
Longit_batch2_63,SPL,2,0.007590896,0.030417066448394574,0.002401957
Longit_batch2_64,SPL,2,0.013951309165260686,0.050415962987485366,0.002205944
Longit_batch2_65,SPL,2,0.010519416195525587,0.074631586,0.003263392
Longit_batch2_PQC 18,BQC,2,0.013303922747863507,0.047664353,0.003171762
Longit_batch2_PQC 18b,BQC,2,0.011891435,0.063092055,0.003701428
Longit_BLANK-03 (Eluent A),SBLK,3,0.033790281,0.099252551,7.386558439807338e-5
Longit_batch3_PQC 19,BQC,3,0.011644758818427173,0.067464011,0.004378899
Longit_batch3_PQC 20,BQC,3,0.013200366942951472,0.066033838,0.004000598
Longit_batch3_1,SPL,3,0.018756162,0.046942204267384775,0.003511327
Longit_batch3_2,SPL,3,0.014000224058804253,0.055008343,0.002886078
Longit_batch3_3,SPL,3,0.014306474872598948,0.058442149,0.002340645
Longit_batch3_4,SPL,3,0.011755031563347678,0.034544163446239444,0.001947238
Longit_batch3_5,SPL,3,0.008806989,0.035203525,0.0021611
Longit_batch3_TQC19,TQC,3,0.012117493295803281,0.043165296447659554,0.002392368
Longit_batch3_6,SPL,3,0.015381018735642103,0.074851009,0.003326603
Longit_batch3_7,SPL,3,0.017412455445256245,0.065846588,0.00377579
Longit_batch3_8,SPL,3,0.012172798584162526,0.074382351,0.00165069
Longit_batch3_9,SPL,3,0.014812156257334282,0.041159749,0.001872174
Longit_batch3_10,SPL,3,0.008472216,0.065110616,0.00441289
Longit_batch3_PQC 21,BQC,3,0.013197818321445945,0.041363764843797765,0.002609896
Longit_batch3_11,SPL,3,0.009016532,0.042372157305596396,0.0021447
Longit_batch3_12,SPL,3,0.014065562693577647,0.038001586,0.002046904
Longit_batch3_13,SPL,3,0.008023993,0.041149216,0.003222892
