analysis_id,qc_type,CE 18:1,CE 18:1 d7 (ISTD),Cer d18:1/16:0,Cer d18:1/24:0,Cer d18:1/25:0 (ISTD),LPC 18:1 (a),LPC 18:1 (ab) d7 (ISTD),LPC 18:1 (b),PC 28:0|SM 32:1 M+3,PC 32:1,PC 33:1 d7 (ISTD),PC 40:6,PC 40:8,PE 33:1 d7 (ISTD),PE 34:1,PE P-16:0/18:1 [-FA-HG],PE P-16:0/18:1 [-FA],PI 33:1 d7 (ISTD),PI 34:1,SM 32:1,SM 34:1,SM 36:2 d9 (ISTD),TG 48:1 [-18:1],TG 48:1 [SIM],TG 48:1 d7 (ISTD) [-15:0],TG 48:1 d7 (ISTD) [SIM],TG 48:2 [-16:0],TG 48:2 [-18:1],TG 48:2 [SIM]
Longit_batch5_15,SPL,1099799,368152.03,52970.668,1329324.8,1462042.9,953963.06,4708518,4587291,55081.137,2649631.8,4680445.5,2858820.3,85649.1,40145.77,116393.24,31470.543,45216.016,30177.19,56577.5,2760447.5,36728308,680771.06,1445492.6,4842786.5,2017421.5,2217101.8,1030066.4,843384.1,3892548.5
Longit_batch5_16,SPL,829011.8,308576.66,47501.75,1041706.2,1419507.5,519852.66,4405524.5,1829550.4,31560.777,2153771.8,4150513.5,3228893.3,67693.69,33014.96,172509.2,13074.518,13672.262,28203.95,52200.16,2516022.3,30938242,618249.1,1822028.3,5848797.5,1299057.4,1701357.5,1669896.5,1055593.4,6250263
Longit_batch5_17,SPL,1327172.4,321560.84,62436.46,1655498.4,1331226.8,934021.2,4346822,3375580.5,55572.777,1671996.3,4326626,2426036.8,131642.5,46646.777,104102.945,25362.87,30338.29,22272.754,48811.875,3068636.5,39165080,577432.94,816473.1,2693240,1841784.3,2159322,811974,782641.4,2828645.3
Longit_batch5_18,SPL,1026865.44,355685.5,70040.23,1258238.1,1762749.9,698326.2,4372413.5,2383211.3,65417.293,2824602,4468818.5,3461936,76672.86,37941.34,122101.484,19306.36,20795.5,28430.846,87822.125,2984763,39384624,622940.25,1484932,5505216.5,2090874.6,2367290.5,1307985,1031193.4,5746582
Longit_batch5_19,SPL,1170056.4,368843,59857.17,1885071.5,1535384.3,1168681.3,4676693.5,4968763.5,46131.406,2351977.8,3686426.3,2069415.8,135420.63,37873.86,120249.32,33043.41,47383.484,29522.299,53009.11,2731101.5,43861744,735675.94,950617,2370229.8,2177654,2524798.3,901695.25,754049.2,3171211.5
Longit_batch5_20,SPL,1373484,296793.3,56704.406,1780786,1494375.4,1238172.1,4554859,5818996,130399.64,2369510.5,4441141.5,5202259,212920.69,35095.48,76788.734,30798.105,39921.125,29204.363,65894,3777437,46214364,545457.8,902182.56,3047632.8,1866283.3,2234948.8,1141469,1022548.4,4167118
Longit_batch5_PQC 40,BQC,1057311.6,270402.1,69936.88,1569736,1328138.1,1299120.4,4462587.5,4464540,81639.945,2168368,4014249,3471218.5,114128.7,38269.13,127638.586,23646.158,32145.37,30201.748,87031.99,3001624.5,41384616,550644.5,2163106.5,7956430.5,1567612,1889726.1,2029305,1795359.6,7727092
Longit_batch5_21,SPL,1297577.5,224914.11,67421.83,1829368.4,1461325.1,1212544.3,4913480,4641184,100606.04,2597595.3,3472781,4964889,185612.22,33881.484,170009.55,23319.367,30349.502,26292.326,70753.28,5029999.5,39201124,477388.16,2062902.9,6098835,1075076.3,1358057.9,1719176.9,2603398,8443001
Longit_batch5_22,SPL,1618143.5,279124.66,52138.438,1207245.1,1587031.1,2009420.1,4941446.5,7159345.5,119537.85,1746042.8,3889593.3,3547753.8,198666.88,34176.645,114085.22,33876.73,35801.848,35004.625,107612.35,2645324.3,40854570,550226.1,918226.8,2938631.5,1902572.9,2085128.9,729581.6,1019870.4,3635257.3
Longit_batch5_23,SPL,1163187.6,404190.88,38255.656,877256.4,1443276.5,1285234.8,4694009,4415684.5,87888.19,1986349.3,4267389,3108739.8,142335.89,41080.457,76315.11,20399.605,19244.084,32006.938,47250.203,2556587.8,35858550,647939.25,715560,2123966.8,2111991,2778879.8,777540.5,1112270.3,3961704.5
Longit_batch5_24,SPL,1377145.3,310917.16,44502.57,1287178.9,1540899.4,1029634.56,5201589,3983179.3,42239.633,1801343.9,4028178.3,3782882.5,157669.8,50568.195,114118.41,21680.822,31761.697,27858.883,61297.75,2545498.5,34567836,612658.1,1164556.3,3182512.3,1838614.3,2362850,991715.1,1167898.3,4360490
Longit_batch5_25,SPL,1405624.5,406468.63,41173.363,991249.7,1768276.6,1395283.9,5147561,5988919,33129.895,1573195.4,4006479.5,3182976.5,212101.3,47386.22,65802.484,20473.176,26187.533,23782.65,54389.92,2992269.3,36556430,611602.3,513861.28,1417153.1,2600890.5,2493722.3,463572.28,571613,1837598.9
Longit_batch5_26,SPL,844825.8,254432.61,60337.973,1665307.9,1385974.5,890317.25,4623164,2964804.5,26778.775,2413071.8,4037065.3,4404620.5,105688.52,41687.652,151577.64,19086.533,20590.65,32682.125,72162.914,2050395.8,30371214,604415.56,1180504.5,3688655.8,1256441.1,1402026.3,1298073.8,1083673.6,4988248.5
Longit_batch5_27,SPL,1239605.3,369285.9,34897.65,905725.75,1524502.1,1485154.8,4671181,5354597,61164.85,1486291.9,4674184.5,3767651,153397.22,49074.242,137316.28,16006.802,19331.34,27113.316,61986.08,2231289.8,36133404,572672.9,1576798.8,6061996,1800062.6,2256964.5,1825187.3,1220414.3,6475845.5
